Year,Month,Day,Hour,PV_GENERATION_2,WT_GENERATION,SMP,Factor_ADJ,고압B 선택2,고압B 선택3,고압C 선택2
2026,1,2,3,0.0,0.4945,91.86,0.9612,0.9612,0.99,0.942
2026,1,2,4,0.0,0.527,75.65,0.925,0.925,0.9528,0.9065
2026,1,2,5,0.0,0.414,80.99,0.8939,0.8939,0.9208,0.8761
2026,1,2,6,0.0249,0.5671,97.85,0.8701,0.8701,0.8962,0.8527
2026,1,2,7,0.0926,0.569,102.5,0.8551,0.8551,0.8808,0.838
2026,1,2,8,0.2046,0.6048,98.23,0.85,0.85,0.8755,0.833
2026,1,2,9,0.2931,0.5042,100.43,0.8551,0.8551,0.8808,0.838
2026,1,2,10,0.4056,0.4937,116.57,0.8701,0.8701,0.8962,0.8527
2026,1,2,11,0.4492,0.6036,127.82,0.8939,0.8939,0.9208,0.8761
2026,1,2,12,0.4353,0.4992,127.04,0.925,0.925,0.9528,0.9065
2026,1,2,13,0.3408,0.3763,121.07,0.9612,0.9612,0.99,0.942
2026,1,2,14,0.3314,0.598,126.9,1.0,1.0,1.03,0.98
2026,1,2,15,0.2924,0.7059,132.15,1.0388,1.0388,1.07,1.018
2026,1,2,16,0.257,0.438,132.5,1.075,1.075,1.1072,1.0535
2026,1,2,17,0.0664,0.5093,138.37,1.1061,1.1061,1.1392,1.0839
2026,1,2,18,0.0,0.6021,129.58,1.1299,1.1299,1.1638,1.1073
2026,1,2,19,0.0,0.4787,110.93,1.1449,1.1449,1.1792,1.122
2026,1,2,20,0.0,0.5587,112.23,1.15,1.15,1.1845,1.127
2026,1,2,21,0.0,0.5779,110.17,1.1449,1.1449,1.1792,1.122
2026,1,2,22,0.0,0.7422,101.61,1.1299,1.1299,1.1638,1.1073
2026,1,2,23,0.0,0.4272,98.93,1.1061,1.1061,1.1392,1.0839
2026,1,3,0,0.0,0.5764,103.2,1.075,1.075,1.1072,1.0535
2026,1,3,1,0.0,0.6502,91.2,1.0388,1.0388,1.07,1.018
2026,1,3,2,0.0,0.7256,76.34,1.0,1.0,1.03,0.98
2026,1,3,3,0.0,0.4732,77.59,0.9612,0.9612,0.99,0.942
2026,1,3,4,0.0,0.5032,74.84,0.925,0.925,0.9528,0.9065
2026,1,3,5,0.0,0.6262,86.57,0.8939,0.8939,0.9208,0.8761
2026,1,3,6,0.0,0.4281,94.83,0.8701,0.8701,0.8962,0.8527
2026,1,3,7,0.1558,0.7896,120.81,0.8551,0.8551,0.8808,0.838
2026,1,3,8,0.2408,0.4313,86.47,0.85,0.85,0.8755,0.833
2026,1,3,9,0.3246,0.4524,106.68,0.8551,0.8551,0.8808,0.838
2026,1,3,10,0.3506,0.5331,125.0,0.8701,0.8701,0.8962,0.8527
2026,1,3,11,0.433,0.531,114.21,0.8939,0.8939,0.9208,0.8761
2026,1,3,12,0.3565,0.4916,127.25,0.925,0.925,0.9528,0.9065
2026,1,3,13,0.5136,0.5656,139.51,0.9612,0.9612,0.99,0.942
2026,1,3,14,0.3563,0.4078,126.43,1.0,1.0,1.03,0.98
2026,1,3,15,0.275,0.8054,128.43,1.0388,1.0388,1.07,1.018
2026,1,3,16,0.262,0.4416,141.6,1.075,1.075,1.1072,1.0535
2026,1,3,17,0.1332,0.5312,131.32,1.1061,1.1061,1.1392,1.0839
2026,1,3,18,0.0,0.6035,124.04,1.1299,1.1299,1.1638,1.1073
2026,1,3,19,0.0,0.4029,112.28,1.1449,1.1449,1.1792,1.122
2026,1,3,20,0.0,0.5707,129.1,1.15,1.15,1.1845,1.127
2026,1,3,21,0.0,0.5692,109.05,1.1449,1.1449,1.1792,1.122
2026,1,3,22,0.0,0.5843,113.98,1.1299,1.1299,1.1638,1.1073
2026,1,3,23,0.0,0.5763,94.21,1.1061,1.1061,1.1392,1.0839
2026,1,4,0,0.0,0.6828,95.75,1.075,1.075,1.1072,1.0535
2026,1,4,1,0.0,0.7343,89.82,1.0388,1.0388,1.07,1.018
2026,1,4,2,0.0,0.4031,74.91,1.0,1.0,1.03,0.98
2026,1,4,3,0.0,0.7481,98.79,0.9612,0.9612,0.99,0.942
2026,1,4,4,0.0,0.5285,82.79,0.925,0.925,0.9528,0.9065
2026,1,4,5,0.0,0.7254,79.49,0.8939,0.8939,0.9208,0.8761
2026,1,4,6,0.0,0.6272,89.17,0.8701,0.8701,0.8962,0.8527
2026,1,4,7,0.1137,0.5304,100.2,0.8551,0.8551,0.8808,0.838
2026,1,4,8,0.2905,0.5609,108.68,0.85,0.85,0.8755,0.833
2026,1,4,9,0.2088,0.5442,103.25,0.8551,0.8551,0.8808,0.838
2026,1,4,10,0.3203,0.4446,113.8,0.8701,0.8701,0.8962,0.8527
2026,1,4,11,0.471,0.3908,122.75,0.8939,0.8939,0.9208,0.8761
2026,1,4,12,0.416,0.5107,135.7,0.925,0.925,0.9528,0.9065
2026,1,4,13,0.4521,0.7105,130.41,0.9612,0.9612,0.99,0.942
2026,1,4,14,0.3464,0.5231,136.09,1.0,1.0,1.03,0.98
2026,1,4,15,0.3201,0.4199,135.72,1.0388,1.0388,1.07,1.018
2026,1,4,16,0.2315,0.8521,149.16,1.075,1.075,1.1072,1.0535
2026,1,4,17,0.0713,0.5155,119.94,1.1061,1.1061,1.1392,1.0839
2026,1,4,18,0.0,0.5879,137.32,1.1299,1.1299,1.1638,1.1073
2026,1,4,19,0.0,0.4625,117.27,1.1449,1.1449,1.1792,1.122
2026,1,4,20,0.0,0.2923,115.17,1.15,1.15,1.1845,1.127
2026,1,4,21,0.0,0.4225,105.76,1.1449,1.1449,1.1792,1.122
2026,1,4,22,0.0,0.4448,102.78,1.1299,1.1299,1.1638,1.1073
2026,1,4,23,0.0,0.3391,85.76,1.1061,1.1061,1.1392,1.0839
2026,1,5,0,0.0,0.8055,82.02,1.075,1.075,1.1072,1.0535
2026,1,5,1,0.0,0.4184,103.04,1.0388,1.0388,1.07,1.018
2026,1,5,2,0.0,0.8986,76.48,1.0,1.0,1.03,0.98
2026,1,5,3,0.0,0.5058,87.73,0.9612,0.9612,0.99,0.942
2026,1,5,4,0.0,0.7574,77.96,0.925,0.925,0.9528,0.9065
2026,1,5,5,0.0,0.5206,94.57,0.8939,0.8939,0.9208,0.8761
2026,1,5,6,0.0217,0.5049,91.25,0.8701,0.8701,0.8962,0.8527
2026,1,5,7,0.0452,0.5214,95.37,0.8551,0.8551,0.8808,0.838
2026,1,5,8,0.2317,0.4834,107.3,0.85,0.85,0.8755,0.833
2026,1,5,9,0.3619,0.5687,112.81,0.8551,0.8551,0.8808,0.838
2026,1,5,10,0.3839,0.55,110.7,0.8701,0.8701,0.8962,0.8527
2026,1,5,11,0.441,0.5383,139.25,0.8939,0.8939,0.9208,0.8761
2026,1,5,12,0.5189,0.5963,121.57,0.925,0.925,0.9528,0.9065
2026,1,5,13,0.3696,0.6929,133.75,0.9612,0.9612,0.99,0.942
2026,1,5,14,0.4052,0.3406,141.57,1.0,1.0,1.03,0.98
2026,1,5,15,0.334,0.4167,131.23,1.0388,1.0388,1.07,1.018
2026,1,5,16,0.2333,0.5563,131.81,1.075,1.075,1.1072,1.0535
2026,1,5,17,0.1088,0.5198,132.87,1.1061,1.1061,1.1392,1.0839
2026,1,5,18,0.0736,0.242,125.78,1.1299,1.1299,1.1638,1.1073
2026,1,5,19,0.0,0.5712,124.87,1.1449,1.1449,1.1792,1.122
2026,1,5,20,0.0,0.5054,102.42,1.15,1.15,1.1845,1.127
2026,1,5,21,0.0,0.5894,123.82,1.1449,1.1449,1.1792,1.122
2026,1,5,22,0.0,0.3659,110.44,1.1299,1.1299,1.1638,1.1073
2026,1,5,23,0.0,0.5106,97.01,1.1061,1.1061,1.1392,1.0839
2026,1,6,0,0.0,0.4237,89.65,1.075,1.075,1.1072,1.0535
2026,1,6,1,0.0,0.706,93.01,1.0388,1.0388,1.07,1.018
2026,1,6,2,0.0,0.7579,95.27,1.0,1.0,1.03,0.98
2026,1,6,3,0.0,0.6027,98.95,0.9612,0.9612,0.99,0.942
2026,1,6,4,0.0,0.6027,92.48,0.925,0.925,0.9528,0.9065
2026,1,6,5,0.0,0.5144,88.88,0.8939,0.8939,0.9208,0.8761
2026,1,6,6,0.0,0.6688,82.9,0.8701,0.8701,0.8962,0.8527
2026,1,6,7,0.153,0.5271,106.87,0.8551,0.8551,0.8808,0.838
2026,1,6,8,0.2576,0.7685,109.38,0.85,0.85,0.8755,0.833
2026,1,6,9,0.2327,0.542,100.62,0.8551,0.8551,0.8808,0.838
2026,1,6,10,0.3553,0.7313,121.57,0.8701,0.8701,0.8962,0.8527
2026,1,6,11,0.3902,0.4284,122.76,0.8939,0.8939,0.9208,0.8761
2026,1,6,12,0.3794,0.4695,130.17,0.925,0.925,0.9528,0.9065
2026,1,6,13,0.483,0.6231,113.32,0.9612,0.9612,0.99,0.942
2026,1,6,14,0.3964,0.5586,137.46,1.0,1.0,1.03,0.98
2026,1,6,15,0.3921,0.3024,130.27,1.0388,1.0388,1.07,1.018
2026,1,6,16,0.2496,0.3602,145.96,1.075,1.075,1.1072,1.0535
2026,1,6,17,0.1323,0.6516,127.08,1.1061,1.1061,1.1392,1.0839
2026,1,6,18,0.0407,0.6782,129.54,1.1299,1.1299,1.1638,1.1073
2026,1,6,19,0.0,0.5781,124.66,1.1449,1.1449,1.1792,1.122
2026,1,6,20,0.0,0.4464,115.29,1.15,1.15,1.1845,1.127
2026,1,6,21,0.0,0.5317,113.07,1.1449,1.1449,1.1792,1.122
2026,1,6,22,0.0,0.67,95.06,1.1299,1.1299,1.1638,1.1073
2026,1,6,23,0.0,0.535,109.35,1.1061,1.1061,1.1392,1.0839
2026,1,7,0,0.0,0.4608,85.74,1.075,1.075,1.1072,1.0535
2026,1,7,1,0.0,0.5743,95.1,1.0388,1.0388,1.07,1.018
2026,1,7,2,0.0,0.5514,96.48,1.0,1.0,1.03,0.98
2026,1,7,3,0.0,0.6528,91.73,0.9612,0.9612,0.99,0.942
2026,1,7,4,0.0,0.6165,104.47,0.925,0.925,0.9528,0.9065
2026,1,7,5,0.0,0.5254,72.32,0.8939,0.8939,0.9208,0.8761
2026,1,7,6,0.0802,0.4951,93.19,0.8701,0.8701,0.8962,0.8527
2026,1,7,7,0.1794,0.3577,87.49,0.8551,0.8551,0.8808,0.838
2026,1,7,8,0.14,0.4547,107.05,0.85,0.85,0.8755,0.833
2026,1,7,9,0.3375,0.5832,98.7,0.8551,0.8551,0.8808,0.838
2026,1,7,10,0.2657,0.5565,112.7,0.8701,0.8701,0.8962,0.8527
2026,1,7,11,0.4482,0.6342,123.61,0.8939,0.8939,0.9208,0.8761
2026,1,7,12,0.4782,0.5775,131.92,0.925,0.925,0.9528,0.9065
2026,1,7,13,0.39,0.5284,133.22,0.9612,0.9612,0.99,0.942
2026,1,7,14,0.4222,0.5028,138.32,1.0,1.0,1.03,0.98
2026,1,7,15,0.298,0.5359,141.64,1.0388,1.0388,1.07,1.018
2026,1,7,16,0.1204,0.3944,122.29,1.075,1.075,1.1072,1.0535
2026,1,7,17,0.0,0.4686,137.65,1.1061,1.1061,1.1392,1.0839
2026,1,7,18,0.0,0.5737,136.39,1.1299,1.1299,1.1638,1.1073
2026,1,7,19,0.0,0.7093,121.95,1.1449,1.1449,1.1792,1.122
2026,1,7,20,0.0,0.7124,117.21,1.15,1.15,1.1845,1.127
2026,1,7,21,0.0,0.4495,105.24,1.1449,1.1449,1.1792,1.122
2026,1,7,22,0.0,0.3723,96.42,1.1299,1.1299,1.1638,1.1073
2026,1,7,23,0.0,0.507,103.93,1.1061,1.1061,1.1392,1.0839
2026,1,8,0,0.0,0.7565,81.26,1.075,1.075,1.1072,1.0535
2026,1,8,1,0.0,0.5971,80.03,1.0388,1.0388,1.07,1.018
2026,1,8,2,0.0,0.607,84.8,1.0,1.0,1.03,0.98
2026,1,8,3,0.0,0.3303,92.43,0.9612,0.9612,0.99,0.942
2026,1,8,4,0.0,0.4774,81.58,0.925,0.925,0.9528,0.9065
2026,1,8,5,0.0,0.4216,83.12,0.8939,0.8939,0.9208,0.8761
2026,1,8,6,0.0214,0.5273,94.95,0.8701,0.8701,0.8962,0.8527
2026,1,8,7,0.132,0.7085,94.76,0.8551,0.8551,0.8808,0.838
2026,1,8,8,0.1463,0.6781,100.88,0.85,0.85,0.8755,0.833
2026,1,8,9,0.367,0.596,108.95,0.8551,0.8551,0.8808,0.838
2026,1,8,10,0.3987,0.7841,133.09,0.8701,0.8701,0.8962,0.8527
2026,1,8,11,0.4287,0.5692,131.11,0.8939,0.8939,0.9208,0.8761
2026,1,8,12,0.3979,0.59,127.47,0.925,0.925,0.9528,0.9065
2026,1,8,13,0.4409,0.45,118.93,0.9612,0.9612,0.99,0.942
2026,1,8,14,0.2776,0.4159,130.48,1.0,1.0,1.03,0.98
2026,1,8,15,0.2966,0.7825,143.85,1.0388,1.0388,1.07,1.018
2026,1,8,16,0.172,0.5917,130.89,1.075,1.075,1.1072,1.0535
2026,1,8,17,0.0997,0.5722,136.6,1.1061,1.1061,1.1392,1.0839
2026,1,8,18,0.0,0.6777,118.54,1.1299,1.1299,1.1638,1.1073
2026,1,8,19,0.0,0.5508,143.28,1.1449,1.1449,1.1792,1.122
2026,1,8,20,0.0,0.5768,127.94,1.15,1.15,1.1845,1.127
2026,1,8,21,0.0,0.561,114.65,1.1449,1.1449,1.1792,1.122
2026,1,8,22,0.0,0.5432,102.17,1.1299,1.1299,1.1638,1.1073
2026,1,8,23,0.0,0.4565,100.94,1.1061,1.1061,1.1392,1.0839
2026,1,9,0,0.0,0.4478,97.65,1.075,1.075,1.1072,1.0535
2026,1,9,1,0.0,0.6802,91.28,1.0388,1.0388,1.07,1.018
2026,1,9,2,0.0,0.5157,89.48,1.0,1.0,1.03,0.98
2026,1,9,3,0.0,0.513,92.48,0.9612,0.9612,0.99,0.942
2026,1,9,4,0.0,0.3302,83.17,0.925,0.925,0.9528,0.9065
2026,1,9,5,0.0,0.3111,76.39,0.8939,0.8939,0.9208,0.8761
2026,1,9,6,0.0682,0.6574,86.57,0.8701,0.8701,0.8962,0.8527
2026,1,9,7,0.0388,0.1943,93.15,0.8551,0.8551,0.8808,0.838
2026,1,9,8,0.3411,0.6022,99.05,0.85,0.85,0.8755,0.833
2026,1,9,9,0.3345,0.3627,107.62,0.8551,0.8551,0.8808,0.838
2026,1,9,10,0.3862,0.5397,122.8,0.8701,0.8701,0.8962,0.8527
2026,1,9,11,0.4424,0.6302,116.99,0.8939,0.8939,0.9208,0.8761
2026,1,9,12,0.4851,0.7455,119.92,0.925,0.925,0.9528,0.9065
2026,1,9,13,0.3808,0.7103,130.12,0.9612,0.9612,0.99,0.942
2026,1,9,14,0.4514,0.4969,145.79,1.0,1.0,1.03,0.98
2026,1,9,15,0.3178,0.581,147.52,1.0388,1.0388,1.07,1.018
2026,1,9,16,0.202,0.4371,130.56,1.075,1.075,1.1072,1.0535
2026,1,9,17,0.1365,0.3621,136.75,1.1061,1.1061,1.1392,1.0839
2026,1,9,18,0.0,0.6877,108.52,1.1299,1.1299,1.1638,1.1073
2026,1,9,19,0.0,0.4556,109.01,1.1449,1.1449,1.1792,1.122
2026,1,9,20,0.0,0.4509,118.45,1.15,1.15,1.1845,1.127
2026,1,9,21,0.0,0.5285,107.97,1.1449,1.1449,1.1792,1.122
2026,1,9,22,0.0,0.5309,105.16,1.1299,1.1299,1.1638,1.1073
2026,1,9,23,0.0,0.429,103.15,1.1061,1.1061,1.1392,1.0839
2026,1,10,0,0.0,0.6295,95.4,1.075,1.075,1.1072,1.0535
2026,1,10,1,0.0,0.6168,90.72,1.0388,1.0388,1.07,1.018
2026,1,10,2,0.0,0.7942,85.16,1.0,1.0,1.03,0.98
2026,1,10,3,0.0,0.5132,78.97,0.9612,0.9612,0.99,0.942
2026,1,10,4,0.0,0.4261,75.9,0.925,0.925,0.9528,0.9065
2026,1,10,5,0.0,0.4433,87.78,0.8939,0.8939,0.9208,0.8761
2026,1,10,6,0.0167,0.5561,86.2,0.8701,0.8701,0.8962,0.8527
2026,1,10,7,0.1589,0.6387,96.22,0.8551,0.8551,0.8808,0.838
2026,1,10,8,0.1875,0.6158,105.03,0.85,0.85,0.8755,0.833
2026,1,10,9,0.2389,0.5418,112.1,0.8551,0.8551,0.8808,0.838
2026,1,10,10,0.3362,0.5728,104.83,0.8701,0.8701,0.8962,0.8527
2026,1,10,11,0.492,0.6998,120.48,0.8939,0.8939,0.9208,0.8761
2026,1,10,12,0.4584,0.2608,118.43,0.925,0.925,0.9528,0.9065
2026,1,10,13,0.4105,0.4213,137.37,0.9612,0.9612,0.99,0.942
2026,1,10,14,0.4811,0.4088,127.45,1.0,1.0,1.03,0.98
2026,1,10,15,0.323,0.7433,125.22,1.0388,1.0388,1.07,1.018
2026,1,10,16,0.2325,0.7686,120.93,1.075,1.075,1.1072,1.0535
2026,1,10,17,0.0499,0.4992,127.49,1.1061,1.1061,1.1392,1.0839
2026,1,10,18,0.0406,0.579,113.48,1.1299,1.1299,1.1638,1.1073
2026,1,10,19,0.0,0.6118,117.88,1.1449,1.1449,1.1792,1.122
2026,1,10,20,0.0,0.7029,111.45,1.15,1.15,1.1845,1.127
2026,1,10,21,0.0,0.4736,114.33,1.1449,1.1449,1.1792,1.122
2026,1,10,22,0.0,0.6416,107.11,1.1299,1.1299,1.1638,1.1073
2026,1,10,23,0.0,0.3477,101.8,1.1061,1.1061,1.1392,1.0839
2026,1,11,0,0.0,0.4259,94.2,1.075,1.075,1.1072,1.0535
2026,1,11,1,0.0,0.3792,91.92,1.0388,1.0388,1.07,1.018
2026,1,11,2,0.0,0.4532,75.59,1.0,1.0,1.03,0.98
2026,1,11,3,0.0,0.6357,86.93,0.9612,0.9612,0.99,0.942
2026,1,11,4,0.0,0.4763,97.46,0.925,0.925,0.9528,0.9065
2026,1,11,5,0.0,0.4971,88.61,0.8939,0.8939,0.9208,0.8761
2026,1,11,6,0.0134,0.4756,96.09,0.8701,0.8701,0.8962,0.8527
2026,1,11,7,0.0873,0.5006,108.4,0.8551,0.8551,0.8808,0.838
2026,1,11,8,0.1681,0.2605,116.42,0.85,0.85,0.8755,0.833
2026,1,11,9,0.4387,0.5014,94.51,0.8551,0.8551,0.8808,0.838
2026,1,11,10,0.3657,0.5157,114.95,0.8701,0.8701,0.8962,0.8527
2026,1,11,11,0.3695,0.6195,126.7,0.8939,0.8939,0.9208,0.8761
2026,1,11,12,0.3655,0.6339,144.1,0.925,0.925,0.9528,0.9065
2026,1,11,13,0.4338,0.5095,130.51,0.9612,0.9612,0.99,0.942
2026,1,11,14,0.412,0.3423,135.46,1.0,1.0,1.03,0.98
2026,1,11,15,0.2917,0.7717,133.61,1.0388,1.0388,1.07,1.018
2026,1,11,16,0.3035,0.4176,138.85,1.075,1.075,1.1072,1.0535
2026,1,11,17,0.1299,0.4457,133.07,1.1061,1.1061,1.1392,1.0839
2026,1,11,18,0.0606,0.5111,114.14,1.1299,1.1299,1.1638,1.1073
2026,1,11,19,0.0,0.5479,115.28,1.1449,1.1449,1.1792,1.122
2026,1,11,20,0.0,0.5089,115.82,1.15,1.15,1.1845,1.127
2026,1,11,21,0.0,0.3453,97.07,1.1449,1.1449,1.1792,1.122
2026,1,11,22,0.0,0.6078,99.35,1.1299,1.1299,1.1638,1.1073
2026,1,11,23,0.0,0.2422,103.78,1.1061,1.1061,1.1392,1.0839
2026,1,12,0,0.0,0.5827,86.61,1.075,1.075,1.1072,1.0535
2026,1,12,1,0.0,0.392,95.04,1.0388,1.0388,1.07,1.018
2026,1,12,2,0.0,0.5919,104.91,1.0,1.0,1.03,0.98
2026,1,12,3,0.0,0.6004,88.1,0.9612,0.9612,0.99,0.942
2026,1,12,4,0.0,0.53,92.39,0.925,0.925,0.9528,0.9065
2026,1,12,5,0.0,0.625,98.36,0.8939,0.8939,0.9208,0.8761
2026,1,12,6,0.0,0.4978,88.49,0.8701,0.8701,0.8962,0.8527
2026,1,12,7,0.1535,0.7298,93.83,0.8551,0.8551,0.8808,0.838
2026,1,12,8,0.1989,0.5877,101.56,0.85,0.85,0.8755,0.833
2026,1,12,9,0.3589,0.2798,103.39,0.8551,0.8551,0.8808,0.838
2026,1,12,10,0.3421,0.2716,108.76,0.8701,0.8701,0.8962,0.8527
2026,1,12,11,0.3794,0.5259,131.4,0.8939,0.8939,0.9208,0.8761
2026,1,12,12,0.4279,0.4263,127.22,0.925,0.925,0.9528,0.9065
2026,1,12,13,0.4777,0.4329,124.37,0.9612,0.9612,0.99,0.942
2026,1,12,14,0.4091,0.5234,139.33,1.0,1.0,1.03,0.98
2026,1,12,15,0.3106,0.6342,126.72,1.0388,1.0388,1.07,1.018
2026,1,12,16,0.2195,0.5247,124.42,1.075,1.075,1.1072,1.0535
2026,1,12,17,0.0358,0.6323,128.84,1.1061,1.1061,1.1392,1.0839
2026,1,12,18,0.0,0.5385,136.7,1.1299,1.1299,1.1638,1.1073
2026,1,12,19,0.0,0.2763,110.53,1.1449,1.1449,1.1792,1.122
2026,1,12,20,0.0,0.4393,128.16,1.15,1.15,1.1845,1.127
2026,1,12,21,0.0,0.5839,116.14,1.1449,1.1449,1.1792,1.122
2026,1,12,22,0.0,0.4132,94.57,1.1299,1.1299,1.1638,1.1073
2026,1,12,23,0.0,0.6037,97.97,1.1061,1.1061,1.1392,1.0839
2026,1,13,0,0.0,0.6158,90.82,1.075,1.075,1.1072,1.0535
2026,1,13,1,0.0,0.5834,89.61,1.0388,1.0388,1.07,1.018
2026,1,13,2,0.0,0.6433,92.31,1.0,1.0,1.03,0.98
2026,1,13,3,0.0,0.3556,67.02,0.9612,0.9612,0.99,0.942
2026,1,13,4,0.0,0.6702,95.35,0.925,0.925,0.9528,0.9065
2026,1,13,5,0.0,0.4275,73.47,0.8939,0.8939,0.9208,0.8761
2026,1,13,6,0.005,0.6617,106.7,0.8701,0.8701,0.8962,0.8527
2026,1,13,7,0.1397,0.5054,90.35,0.8551,0.8551,0.8808,0.838
2026,1,13,8,0.2207,0.5141,95.41,0.85,0.85,0.8755,0.833
2026,1,13,9,0.4137,0.7642,119.09,0.8551,0.8551,0.8808,0.838
2026,1,13,10,0.3352,0.6526,121.59,0.8701,0.8701,0.8962,0.8527
2026,1,13,11,0.4473,0.7,127.58,0.8939,0.8939,0.9208,0.8761
2026,1,13,12,0.4772,0.6264,130.4,0.925,0.925,0.9528,0.9065
2026,1,13,13,0.336,0.56,127.2,0.9612,0.9612,0.99,0.942
2026,1,13,14,0.3172,0.7518,147.98,1.0,1.0,1.03,0.98
2026,1,13,15,0.3792,0.5806,145.81,1.0388,1.0388,1.07,1.018
2026,1,13,16,0.2207,0.5743,125.4,1.075,1.075,1.1072,1.0535
2026,1,13,17,0.1338,0.5572,121.23,1.1061,1.1061,1.1392,1.0839
2026,1,13,18,0.0,0.5404,142.06,1.1299,1.1299,1.1638,1.1073
2026,1,13,19,0.0,0.6573,122.59,1.1449,1.1449,1.1792,1.122
2026,1,13,20,0.0,0.5799,116.82,1.15,1.15,1.1845,1.127
2026,1,13,21,0.0,0.5257,101.34,1.1449,1.1449,1.1792,1.122
2026,1,13,22,0.0,0.5319,97.56,1.1299,1.1299,1.1638,1.1073
2026,1,13,23,0.0,0.4,101.59,1.1061,1.1061,1.1392,1.0839
2026,1,14,0,0.0,0.597,78.03,1.075,1.075,1.1072,1.0535
2026,1,14,1,0.0,0.5353,96.31,1.0388,1.0388,1.07,1.018
2026,1,14,2,0.0,0.6771,94.06,1.0,1.0,1.03,0.98
2026,1,14,3,0.0,0.5547,78.24,0.9612,0.9612,0.99,0.942
2026,1,14,4,0.0,0.42,88.61,0.925,0.925,0.9528,0.9065
2026,1,14,5,0.0,0.5955,98.65,0.8939,0.8939,0.9208,0.8761
2026,1,14,6,0.055,0.5341,82.37,0.8701,0.8701,0.8962,0.8527
2026,1,14,7,0.098,0.5761,95.88,0.8551,0.8551,0.8808,0.838
2026,1,14,8,0.1912,0.5803,99.5,0.85,0.85,0.8755,0.833
2026,1,14,9,0.2799,0.5874,106.78,0.8551,0.8551,0.8808,0.838
2026,1,14,10,0.3934,0.5828,107.36,0.8701,0.8701,0.8962,0.8527
2026,1,14,11,0.4011,0.7225,113.2,0.8939,0.8939,0.9208,0.8761
2026,1,14,12,0.3344,0.3266,127.91,0.925,0.925,0.9528,0.9065
2026,1,14,13,0.4267,0.5359,141.36,0.9612,0.9612,0.99,0.942
2026,1,14,14,0.2476,0.5975,146.64,1.0,1.0,1.03,0.98
2026,1,14,15,0.2549,0.5044,128.98,1.0388,1.0388,1.07,1.018
2026,1,14,16,0.1754,0.5108,145.57,1.075,1.075,1.1072,1.0535
2026,1,14,17,0.2058,0.5097,146.89,1.1061,1.1061,1.1392,1.0839
2026,1,14,18,0.0018,0.7604,126.93,1.1299,1.1299,1.1638,1.1073
2026,1,14,19,0.0,0.5657,125.42,1.1449,1.1449,1.1792,1.122
2026,1,14,20,0.0,0.9315,123.28,1.15,1.15,1.1845,1.127
2026,1,14,21,0.0,0.4651,117.75,1.1449,1.1449,1.1792,1.122
2026,1,14,22,0.0,0.5066,99.61,1.1299,1.1299,1.1638,1.1073
2026,1,14,23,0.0,0.659,97.75,1.1061,1.1061,1.1392,1.0839
2026,1,15,0,0.0,0.5834,92.43,1.075,1.075,1.1072,1.0535
2026,1,15,1,0.0,0.5904,91.75,1.0388,1.0388,1.07,1.018
